battery_id,cycle_idx,EIS_Re,EIS_Rct,EIS_Zmag_mean,eis_time_gap_hours
B0005,1,0.04466870036616091,0.06945627304536996,0.20895020797607514,389.49666666666667
B0005,2,0.04466870036616091,0.06945627304536996,0.20895020797607514,385.1947222222222
B0005,3,0.04466870036616091,0.06945627304536996,0.20895020797607514,380.9063888888889
B0005,4,0.04466870036616091,0.06945627304536996,0.20895020797607514,376.6477777777778
B0005,5,0.04466870036616091,0.06945627304536996,0.20895020797607514,372.3677777777778
B0005,6,0.04466870036616091,0.06945627304536996,0.20895020797607514,368.0052777777778
B0005,7,0.04466870036616091,0.06945627304536996,0.20895020797607514,363.63694444444445
B0005,8,0.04466870036616091,0.06945627304536996,0.20895020797607514,359.45416666666665
B0005,9,0.04466870036616091,0.06945627304536996,0.20895020797607514,355.2872222222222
B0005,10,0.04466870036616091,0.06945627304536996,0.20895020797607514,351.1225
B0005,11,0.04466870036616091,0.06945627304536996,0.20895020797607514,346.96944444444443
B0005,12,0.04466870036616091,0.06945627304536996,0.20895020797607514,338.9838888888889
B0005,13,0.04466870036616091,0.06945627304536996,0.20895020797607514,334.8930555555556
B0005,14,0.04466870036616091,0.06945627304536996,0.20895020797607514,330.58416666666665
B0005,15,0.04466870036616091,0.06945627304536996,0.20895020797607514,326.5077777777778
B0005,16,0.04466870036616091,0.06945627304536996,0.20895020797607514,322.41583333333335
B0005,17,0.04466870036616091,0.06945627304536996,0.20895020797607514,318.3466666666667
B0005,18,0.04466870036616091,0.06945627304536996,0.20895020797607514,314.2677777777778
B0005,19,0.04466870036616091,0.06945627304536996,0.20895020797607514,310.1483333333333
B0005,20,0.04466870036616091,0.06945627304536996,0.20895020797607514,0.24722222222222223
B0005,21,0.044843430573346096,0.0679720560130687,0.2087162071516687,0.245
B0005,22,0.04510114851143001,0.06852832896000328,0.2092581728649849,0.245
B0005,23,0.044172075577171746,0.06804449516996176,0.2096433565356757,0.245
B0005,24,0.043786628196075913,0.06845021227072765,0.20928590344598327,0.245
B0005,25,0.04463932198878524,0.0683410113732366,0.2097048351944546,0.245
B0005,26,0.043558785775475374,0.06868237655872211,0.20877688529334773,0.245
B0005,27,0.04526547818261783,0.0681437253042456,0.20911689614998286,0.245
B0005,28,0.044483715777434665,0.06782555719716843,0.20863345859197513,0.2452777777777778
B0005,29,0.04441416485910045,0.06885805241213436,0.20912332812468937,0.245
B0005,30,0.04453544590029642,0.06779434699116274,0.20946235387909926,0.2452777777777778
B0005,31,0.04610646564263781,0.07041083307756363,0.204169244712495,0.9872222222222222
