dataset,battery_id,cycle_idx,discharge_capacity,SOH_recovered
NASA,B0033,1,0.6895699007862814,59.39014009699285
NASA,B0033,2,1.1610848192311252,100.0
NASA,B0033,3,1.2529393053824995,107.91109181947627
NASA,B0033,4,1.302918002447558,112.21557468216278
NASA,B0033,5,1.3218773211472525,113.84847164073722
NASA,B0033,6,1.2884694418301417,110.97117286257958
NASA,B0033,7,1.713169326386719,147.54902467170197
NASA,B0033,8,1.6560966776720512,142.6335656312107
NASA,B0033,9,1.6197297341990775,139.50141345157442
NASA,B0033,10,1.604655812282729,138.20315154454767
NASA,B0033,11,1.6255699769029337,140.00441225124212
NASA,B0033,12,1.5900967306245992,136.94923095089362
NASA,B0033,13,1.5739402299623984,135.5577304855874
NASA,B0033,14,1.5711303351557309,135.31572449600532
NASA,B0033,15,1.5897706153457416,136.92114383155004
NASA,B0033,16,1.6257378771074,140.01887288337556
NASA,B0033,17,1.6523506333962537,142.31093250279912
NASA,B0033,18,1.6143816761595386,139.04080472162133
NASA,B0033,19,1.58697453394504,136.68032754023437
NASA,B0033,20,1.5818355572787333,136.23772622625717
NASA,B0033,21,1.6919769406371152,145.72380179404541
NASA,B0033,22,1.6879483800354476,145.37683656506795
NASA,B0033,23,1.6586223007531458,142.851088334054
NASA,B0033,24,1.6420179032789863,141.42101215020077
NASA,B0033,25,1.6381810791118743,141.09056048090304
NASA,B0033,26,1.6422892507912386,141.44438232159203
NASA,B0033,27,1.651270876264092,142.21793695981398
NASA,B0033,28,1.6326559297917211,140.61469952495565
NASA,B0033,29,1.6260888111680731,140.04909755386134
NASA,B0033,30,1.6079292963823688,138.48508478882238
NASA,B0033,31,1.6125361114907395,138.88185296906795
NASA,B0033,32,1.6218384168987892,139.6830266003113
NASA,B0033,33,1.6145443029101134,139.05481117040793
NASA,B0033,34,1.5953958917107596,137.40562836462172
NASA,B0033,35,1.5877243027113057,136.74490238901777
NASA,B0033,36,1.5811840578305605,136.1816149553679
NASA,B0033,37,1.6128422608267754,138.90822049458933
NASA,B0033,38,1.61998606328022,139.52349014027942
NASA,B0033,39,1.6099381853611876,138.65810306841277
NASA,B0033,40,1.5770977539565159,135.82967650898027
NASA,B0033,41,1.5708599066554392,135.2924334757618
NASA,B0033,42,1.6261581345348248,140.0550681225574
NASA,B0033,43,1.6348129972245726,140.8004798742569
NASA,B0033,44,1.6117053637342613,138.81030369525794
NASA,B0033,45,1.8851401699720662,162.3602461033306
NASA,B0033,46,1.6584957887780232,142.84019231913524
NASA,B0033,47,1.62418934644937,139.88550358662982
NASA,B0033,48,1.6041720988563641,138.16149107165597
NASA,B0033,49,1.6080016740907346,138.49131841681984
NASA,B0033,50,1.6256752138435595,140.01347592504808
NASA,B0033,51,1.617632765910718,139.3208092223547
NASA,B0033,52,1.5973191489094263,137.57127149136073
NASA,B0033,53,1.5875852250170606,136.73292413454908
NASA,B0033,54,1.5802530015403684,136.1014264734611
NASA,B0033,55,1.583036530487776,136.3411616677642
NASA,B0033,56,1.6027138832797037,138.03590028341142
NASA,B0033,57,1.5930709154513834,137.20538664060055
NASA,B0033,58,1.5448888685020246,133.05564269844263
NASA,B0033,59,1.5352188565640517,132.22279984512068
NASA,B0033,60,1.5252677314227332,131.36574573705747
NASA,B0033,61,1.5559492005453626,134.00822875074005
NASA,B0033,62,1.5648029438427147,134.77076936368292
NASA,B0033,63,1.5518620461881205,133.65621705533707
NASA,B0033,64,1.5144550545105004,130.43448931778977
NASA,B0033,65,1.5051936202146428,129.63683576634716
NASA,B0033,66,1.605823969917045,138.30376070031022
NASA,B0033,67,1.6249005195877049,139.94675433477119
NASA,B0033,68,1.589785130036615,136.92239392892733
NASA,B0033,69,1.5552386152299904,133.94702862964613
NASA,B0033,70,1.539756404636803,132.61360230826511
NASA,B0033,71,1.5293174002138357,131.7145289373911
NASA,B0033,72,1.547680553576876,133.29608035025004
NASA,B0033,73,1.5659920939439786,134.87318652404608
NASA,B0033,74,1.5416252851780505,132.7745621718593
NASA,B0033,75,1.517590655990168,130.70454723498344
NASA,B0033,76,1.5075202042593092,129.8372159630504
NASA,B0033,77,1.49549282626034,128.80134177024735
NASA,B0033,78,1.4997618811573148,129.16901989558895
NASA,B0033,79,1.4906966807803954,128.38826725574972
NASA,B0033,80,1.4800999425051866,127.47560884357394
NASA,B0033,81,1.4676091496100632,126.39982241623997
NASA,B0033,82,1.4729818491920503,126.86255343235516
NASA,B0033,83,1.4742872137206404,126.97497971740937
NASA,B0033,84,1.4635162808346138,126.04731855884224
NASA,B0033,85,1.4527095680488362,125.11657580802978
NASA,B0033,86,1.4557303847230247,125.376747728647
NASA,B0033,87,1.459740099618568,125.72208984570254
NASA,B0033,88,1.448711504158192,124.7722371495249
NASA,B0033,89,1.4666759762884336,126.31945160213809
NASA,B0033,90,1.4689502109504418,126.5153231374764
NASA,B0033,91,1.471116588522042,126.70190533506597
NASA,B0033,92,1.4473012364654927,124.6507759376185
NASA,B0033,93,1.4205315547561643,122.34520090417216
NASA,B0033,94,1.4241466094817417,122.65655238045545
NASA,B0033,95,1.4412820083364295,124.13236177619238
NASA,B0033,96,1.4448965388921615,124.44366810763898
NASA,B0033,97,1.4540256354795746,125.2299238950033
NASA,B0033,98,1.4226030447542912,122.52361078119552
NASA,B0033,99,1.410196954589097,121.45511949100627
NASA,B0033,100,1.4144881298999457,121.82470276690252
NASA,B0033,101,1.431360032946153,123.27781822985209
NASA,B0033,102,1.4515133236517528,125.01354764184673
NASA,B0033,103,1.4230376757726733,122.56104396533358
NASA,B0033,104,1.396298696255913,120.25811319973569
NASA,B0033,105,1.3979060730399124,120.39655069864845
NASA,B0033,106,1.4011347560096767,120.67462538503548
NASA,B0033,107,1.436782528945267,123.74483802972378
NASA,B0033,108,1.4370006879546382,123.76362726938636
NASA,B0033,109,1.410355528453481,121.46877687948962
NASA,B0033,110,1.382633397996189,119.08117090978538
NASA,B0033,111,1.3699403583067564,117.98796570382655
NASA,B0033,112,1.3786129327882322,118.73490290753736
NASA,B0033,113,1.8035959863147193,155.33714302707594
NASA,B0033,114,1.4234424290662009,122.59590389001984
NASA,B0033,115,1.3946003892958663,120.11184421646095
NASA,B0033,116,1.3961613987822286,120.24628826916985
NASA,B0033,117,1.384968608315797,119.28229405608184
NASA,B0033,118,1.3715114742475478,118.12328018858847
NASA,B0033,119,1.3616865084879255,117.27709172785839
NASA,B0033,120,1.3796301360966086,118.82251091786773
NASA,B0033,121,1.364231776003204,117.49630633415771
NASA,B0033,122,1.3418414512081456,115.56790933643575
NASA,B0033,123,1.3552215695792247,116.7202901228747
NASA,B0033,124,1.3403860264029774,115.44255890715944
NASA,B0033,125,1.3594078914195438,117.08084275184554
NASA,B0033,126,1.3457100861355502,115.90110075047615
NASA,B0033,127,1.3477611420854358,116.07775071746511
NASA,B0033,128,1.335482103134067,115.02020188485697
NASA,B0033,129,1.353154941842234,116.54229901466616
NASA,B0033,130,1.3709677706044292,118.07645297716401
NASA,B0033,131,1.357426672491866,116.91020759282334
NASA,B0033,132,1.3443678821106904,115.7855016139937
NASA,B0033,133,1.33005823859453,114.5530642175909
NASA,B0033,134,1.4033641858066626,120.86663804079151
NASA,B0033,135,1.3865570950229378,119.41910462158323
NASA,B0033,136,1.3704138176872631,118.0287430331538
