cell_id,n_cycles,cap_min,cap_max
RW1,48,1.1589347222222222,2.0003486111111113
RW2,52,1.1111680555555556,1.9884069444444445
RW3,44,1.059675738888889,2.0089662569444444
RW4,38,1.1292166666666668,1.9782763888888892
RW5,42,1.119602777777778,1.9697583333333337
RW6,22,1.3042055555555556,1.9292019597222225
RW7,49,1.0400333333333334,1.9978583333333333
RW8,48,1.0717263888888888,1.9874472222222226
RW9,80,0.7487625,2.0977388888888893
RW10,77,0.8168166666666667,2.0950402777777777
RW11,77,0.6929597222222221,2.0939875625
RW12,76,1.0869583333333335,2.093717522222222
RW13,23,0.03655543055555555,1.8623433541666665
RW14,24,0.02123734444444444,1.8061846305555558
RW15,24,0.024091575,1.8385604472222223
RW16,19,0.02563631111111111,1.8192632152777777
RW17,28,0.03773484583333333,1.8898601194444444
RW18,27,0.039765033333333324,1.7916060500000002
RW19,26,0.04027635416666667,1.8480171749999998
RW20,29,0.03593523611111111,1.8551198972222223
RW21,11,0.3289286694444444,1.1415675694444445
RW22,10,0.19348529722222224,1.321463073611111
RW23,11,0.2783528777777778,1.128277777777778
RW24,11,0.25434657499999996,0.8793127958333333
RW25,13,0.45559423611111116,0.9580199305555557
RW26,14,0.21864984166666665,0.7641690777777778
RW27,12,0.6469747791666667,1.053446215277778
RW28,12,0.36231496111111117,0.9215328263888889
