pool,battery_id,channel,frac_cycles_fully_saturated,frac_values_clipped,n_cycles
expanded_204,B0005,V_t,0.0,0.355625,168
expanded_204,B0005,I_t,0.0,0.8886904761904761,168
expanded_204,B0005,T_t,0.0,0.12705357142857143,168
expanded_204,B0005,dQdV,0.0,0.694672619047619,168
expanded_204,B0005,dVdQ,0.0,0.07535714285714286,168
expanded_204,B0005,dIdV,0.0,2.9761904761904762e-05,168
expanded_204,B0006,V_t,0.0,0.30889880952380955,168
expanded_204,B0006,I_t,0.0,0.8791071428571429,168
expanded_204,B0006,T_t,0.0,0.13785714285714284,168
expanded_204,B0006,dQdV,0.0,0.6165773809523809,168
expanded_204,B0006,dVdQ,0.0,0.02892857142857143,168
expanded_204,B0006,dIdV,0.0,2.9761904761904762e-05,168
expanded_204,B0007,V_t,0.0,0.38336309523809525,168
expanded_204,B0007,I_t,0.0,0.6885714285714286,168
expanded_204,B0007,T_t,0.0,0.1449702380952381,168
expanded_204,B0007,dQdV,0.0,0.5627678571428572,168
expanded_204,B0007,dVdQ,0.0,0.01711309523809524,168
expanded_204,B0007,dIdV,0.0,0.0,168
expanded_204,B0018,V_t,0.0,0.3418560606060606,132
expanded_204,B0018,I_t,0.0,0.9074242424242425,132
expanded_204,B0018,T_t,0.0,0.20390151515151514,132
expanded_204,B0018,dQdV,0.0,0.6434090909090909,132
expanded_204,B0018,dVdQ,0.0,0.018522727272727274,132
expanded_204,B0018,dIdV,0.0,0.0,132
expanded_204,B0025,V_t,0.0,0.2292857142857143,28
expanded_204,B0025,I_t,0.0,0.2575,28
expanded_204,B0025,T_t,0.0,0.15303571428571427,28
expanded_204,B0025,dQdV,0.0,0.6216071428571428,28
expanded_204,B0025,dVdQ,0.0,0.008928571428571428,28
expanded_204,B0025,dIdV,0.0,0.02107142857142857,28
expanded_204,B0026,V_t,0.0,0.21732142857142858,28
expanded_204,B0026,I_t,0.0,0.25125,28
expanded_204,B0026,T_t,0.0,0.15785714285714286,28
expanded_204,B0026,dQdV,0.0,0.6485714285714286,28
expanded_204,B0026,dVdQ,0.0,0.004642857142857143,28
expanded_204,B0026,dIdV,0.0,0.02892857142857143,28
expanded_204,B0027,V_t,0.0,0.16857142857142857,28
expanded_204,B0027,I_t,0.0,0.25625,28
expanded_204,B0027,T_t,0.0,0.22267857142857142,28
expanded_204,B0027,dQdV,0.0,0.91625,28
expanded_204,B0027,dVdQ,0.0,0.0,28
expanded_204,B0027,dIdV,0.0,0.048928571428571425,28
expanded_204,B0028,V_t,0.0,0.6896428571428571,28
expanded_204,B0028,I_t,0.0,0.0067857142857142855,28
expanded_204,B0028,T_t,0.0,0.07035714285714285,28
expanded_204,B0028,dQdV,0.0,0.7358928571428571,28
expanded_204,B0028,dVdQ,0.0,0.0,28
expanded_204,B0028,dIdV,0.0,0.0,28
expanded_204,B0029,V_t,0.0,0.21897435897435896,39
expanded_204,B0029,I_t,0.0,0.9747435897435898,39
expanded_204,B0029,T_t,1.0,1.0,39
expanded_204,B0029,dQdV,0.0,0.47807692307692307,39
expanded_204,B0029,dVdQ,0.0,0.05897435897435897,39
expanded_204,B0029,dIdV,0.0,0.0005128205128205128,39
expanded_204,B0030,V_t,0.0,0.18294871794871795,39
expanded_204,B0030,I_t,0.0,0.936025641025641,39
expanded_204,B0030,T_t,1.0,1.0,39
expanded_204,B0030,dQdV,0.0,0.4976923076923077,39
expanded_204,B0030,dVdQ,0.0,0.1158974358974359,39
expanded_204,B0030,dIdV,0.0,0.0,39
expanded_204,B0031,V_t,0.0,0.22153846153846155,39
expanded_204,B0031,I_t,0.0,0.987051282051282,39
expanded_204,B0031,T_t,1.0,1.0,39
expanded_204,B0031,dQdV,0.0,0.5906410256410256,39
expanded_204,B0031,dVdQ,0.0,0.1135897435897436,39
expanded_204,B0031,dIdV,0.0,0.000641025641025641,39
expanded_204,B0032,V_t,0.0,0.14807692307692308,39
expanded_204,B0032,I_t,0.0,0.9788461538461538,39
expanded_204,B0032,T_t,1.0,1.0,39
expanded_204,B0032,dQdV,0.0,0.7124358974358974,39
expanded_204,B0032,dVdQ,0.0,0.16512820512820514,39
expanded_204,B0032,dIdV,0.0,0.0,39
expanded_204,B0042,V_t,0.0,0.2065566037735849,106
expanded_204,B0042,I_t,0.0,0.7510377358490566,106
expanded_204,B0042,T_t,0.25471698113207547,0.5838679245283019,106
expanded_204,B0042,dQdV,0.0,0.5120754716981132,106
expanded_204,B0042,dVdQ,0.0,0.09943396226415094,106
expanded_204,B0042,dIdV,0.0,0.0,106
expanded_204,B0043,V_t,0.0,0.5468867924528302,106
expanded_204,B0043,I_t,0.0,0.2135377358490566,106
expanded_204,B0043,T_t,0.6132075471698113,0.7073584905660377,106
expanded_204,B0043,dQdV,0.0,0.5375471698113208,106
expanded_204,B0043,dVdQ,0.0,0.025754716981132075,106
expanded_204,B0043,dIdV,0.0,0.0,106
expanded_204,B0044,V_t,0.0,0.507122641509434,106
expanded_204,B0044,I_t,0.0,0.37731132075471696,106
expanded_204,B0044,T_t,0.6132075471698113,0.6788679245283019,106
expanded_204,B0044,dQdV,0.0,0.6120283018867925,106
expanded_204,B0044,dVdQ,0.0,0.0659433962264151,106
expanded_204,B0044,dIdV,0.0,0.0,106
expanded_204,B0045,V_t,0.0,0.42140845070422533,71
expanded_204,B0045,I_t,0.0,0.0,71
expanded_204,B0045,T_t,1.0,1.0,71
expanded_204,B0045,dQdV,0.0,0.7161971830985916,71
expanded_204,B0045,dVdQ,0.0,0.04661971830985916,71
expanded_204,B0045,dIdV,0.0,0.0,71
expanded_204,B0046,V_t,0.0,0.26147887323943664,71
expanded_204,B0046,I_t,0.0,0.0,71
expanded_204,B0046,T_t,1.0,1.0,71
expanded_204,B0046,dQdV,0.0,0.7518309859154929,71
expanded_204,B0046,dVdQ,0.0,0.04091549295774648,71
expanded_204,B0046,dIdV,0.0,0.0,71
expanded_204,B0047,V_t,0.0,0.272887323943662,71
expanded_204,B0047,I_t,0.0,0.0,71
expanded_204,B0047,T_t,1.0,1.0,71
expanded_204,B0047,dQdV,0.0,0.7902112676056338,71
expanded_204,B0047,dVdQ,0.0,0.024929577464788733,71
expanded_204,B0047,dIdV,0.0,0.0,71
expanded_204,B0048,V_t,0.0,0.25873239436619716,71
expanded_204,B0048,I_t,0.0,0.0,71
expanded_204,B0048,T_t,1.0,1.0,71
expanded_204,B0048,dQdV,0.0,0.8481690140845071,71
expanded_204,B0048,dVdQ,0.0,0.06408450704225352,71
expanded_204,B0048,dIdV,0.0,0.0,71
expanded_204,B0053,V_t,0.0,0.07157407407407407,54
expanded_204,B0053,I_t,0.0,0.99,54
expanded_204,B0053,T_t,1.0,1.0,54
expanded_204,B0053,dQdV,0.0,0.7493518518518518,54
expanded_204,B0053,dVdQ,0.0,0.14842592592592593,54
expanded_204,B0053,dIdV,0.0,0.0,54
