battery_id,rel_cycle,soh,series,trajectory_id
b4c38,-9,98.89461517333984,observed history,-1
b4c38,-8,98.88716125488281,observed history,-1
b4c38,-7,98.88795471191406,observed history,-1
b4c38,-6,98.8892822265625,observed history,-1
b4c38,-5,98.88997650146484,observed history,-1
b4c38,-4,98.88308715820312,observed history,-1
b4c38,-3,98.88534545898438,observed history,-1
b4c38,-2,98.87698364257812,observed history,-1
b4c38,-1,98.86766052246094,observed history,-1
b4c38,0,98.87409210205078,observed history,-1
b4c38,1,98.86078643798828,"true future (for comparison, not used by the model)",-1
b4c38,2,98.86529541015625,"true future (for comparison, not used by the model)",-1
b4c38,3,98.87281036376953,"true future (for comparison, not used by the model)",-1
b4c38,4,98.85897064208984,"true future (for comparison, not used by the model)",-1
b4c38,5,98.8622055053711,"true future (for comparison, not used by the model)",-1
b4c38,6,98.86116790771484,"true future (for comparison, not used by the model)",-1
b4c38,7,98.85786437988281,"true future (for comparison, not used by the model)",-1
b4c38,8,98.85128021240234,"true future (for comparison, not used by the model)",-1
b4c38,9,98.83857727050781,"true future (for comparison, not used by the model)",-1
b4c38,10,98.83586120605469,"true future (for comparison, not used by the model)",-1
b4c38,11,98.83206939697266,"true future (for comparison, not used by the model)",-1
b4c38,12,98.81446075439453,"true future (for comparison, not used by the model)",-1
b4c38,13,98.81596374511719,"true future (for comparison, not used by the model)",-1
b4c38,14,98.80062866210938,"true future (for comparison, not used by the model)",-1
b4c38,15,98.79483795166016,"true future (for comparison, not used by the model)",-1
b4c38,1,98.86067199707031,forecast branch 1,0
b4c38,2,98.85501098632812,forecast branch 1,0
b4c38,3,98.85652923583984,forecast branch 1,0
b4c38,4,98.85552215576172,forecast branch 1,0
b4c38,5,98.84996032714844,forecast branch 1,0
b4c38,6,98.84101867675781,forecast branch 1,0
b4c38,7,98.83003997802734,forecast branch 1,0
b4c38,8,98.81759643554688,forecast branch 1,0
b4c38,9,98.8021240234375,forecast branch 1,0
b4c38,10,98.78194427490234,forecast branch 1,0
b4c38,11,98.75113677978516,forecast branch 1,0
b4c38,12,98.70321655273438,forecast branch 1,0
b4c38,13,98.63842010498047,forecast branch 1,0
b4c38,14,98.55889129638672,forecast branch 1,0
b4c38,15,98.46651458740234,forecast branch 1,0
b4c38,1,98.84613037109375,forecast branch 2,1
b4c38,2,98.84278869628906,forecast branch 2,1
b4c38,3,98.83687591552734,forecast branch 2,1
b4c38,4,98.82466125488281,forecast branch 2,1
b4c38,5,98.80940246582031,forecast branch 2,1
b4c38,6,98.79324340820312,forecast branch 2,1
b4c38,7,98.77588653564453,forecast branch 2,1
b4c38,8,98.75654602050781,forecast branch 2,1
b4c38,9,98.73338317871094,forecast branch 2,1
b4c38,10,98.69888305664062,forecast branch 2,1
b4c38,11,98.64788055419922,forecast branch 2,1
b4c38,12,98.58056640625,forecast branch 2,1
b4c38,13,98.49893951416016,forecast branch 2,1
b4c38,14,98.40479278564453,forecast branch 2,1
b4c38,15,98.29974365234375,forecast branch 2,1
b4c38,1,98.84475708007812,forecast branch 3,2
b4c38,2,98.83597564697266,forecast branch 3,2
b4c38,3,98.83160400390625,forecast branch 3,2
b4c38,4,98.82225799560547,forecast branch 3,2
b4c38,5,98.8091049194336,forecast branch 3,2
b4c38,6,98.79387664794922,forecast branch 3,2
b4c38,7,98.77729797363281,forecast branch 3,2
b4c38,8,98.75875091552734,forecast branch 3,2
b4c38,9,98.73788452148438,forecast branch 3,2
b4c38,10,98.71125793457031,forecast branch 3,2
b4c38,11,98.66938781738281,forecast branch 3,2
b4c38,12,98.6103515625,forecast branch 3,2
b4c38,13,98.53585052490234,forecast branch 3,2
b4c38,14,98.44783782958984,forecast branch 3,2
b4c38,15,98.34806060791016,forecast branch 3,2
b4c38,1,98.83879852294922,forecast branch 4,3
b4c38,2,98.81948852539062,forecast branch 4,3
b4c38,3,98.814208984375,forecast branch 4,3
b4c38,4,98.81210327148438,forecast branch 4,3
b4c38,5,98.8058853149414,forecast branch 4,3
b4c38,6,98.79644012451172,forecast branch 4,3
b4c38,7,98.78498840332031,forecast branch 4,3
b4c38,8,98.77237701416016,forecast branch 4,3
b4c38,9,98.75827026367188,forecast branch 4,3
b4c38,10,98.74053192138672,forecast branch 4,3
b4c38,11,98.71598052978516,forecast branch 4,3
b4c38,12,98.67524719238281,forecast branch 4,3
b4c38,13,98.61697387695312,forecast branch 4,3
b4c38,14,98.54316711425781,forecast branch 4,3
b4c38,15,98.45580291748047,forecast branch 4,3
b4c38,1,98.84696960449219,forecast branch 5,4
