dataset,battery_id,min_early_cap,in_pool
NASA,B0005,1.8346455082120419,True
NASA,B0006,2.000528337624771,True
NASA,B0007,1.8794508728285058,True
NASA,B0018,1.8306736044962053,True
NASA,B0025,1.8370120718560439,True
NASA,B0026,1.8132504303869899,True
NASA,B0027,1.812800333853042,True
NASA,B0028,1.7919180081592216,True
NASA,B0029,1.8132993337127028,True
NASA,B0030,1.7381688070362076,True
NASA,B0031,1.7715647509798835,True
NASA,B0032,1.844174397003866,True
NASA,B0033,0.6895699007862814,False
NASA,B0034,1.4856500618812698,False
NASA,B0036,1.792996521672392,False
NASA,B0038,1.0269978594353013,False
NASA,B0039,0.16280793829202067,False
NASA,B0040,0.7405021514606399,False
NASA,B0041,0.044092291840801906,False
NASA,B0042,1.720344742291621,True
NASA,B0043,1.6694168550864992,True
NASA,B0044,1.635664062367341,True
NASA,B0045,0.8245471942901911,True
NASA,B0046,1.4589554592644807,True
NASA,B0047,1.448858156982267,True
NASA,B0048,1.4509592706473475,True
NASA,B0049,1.0605357965671216,False
NASA,B0050,0.03255841710834194,False
NASA,B0051,1.0092808819126011,False
NASA,B0052,1.3515647352626494,False
NASA,B0053,1.1135982401443856,True
NASA,B0054,1.0655493528023796,True
NASA,B0055,1.206763751299412,True
NASA,B0056,1.2589496187032136,True
MIT,b1c0,1.0706892,False
MIT,b1c1,1.0753012,True
MIT,b1c2,1.0799223,True
MIT,b1c3,1.0797229,True
MIT,b1c4,1.0784167,True
MIT,b1c5,1.0761266,True
MIT,b1c6,1.0758358,True
MIT,b1c7,1.0938644,True
MIT,b1c8,1.0899748,True
MIT,b1c9,1.0829742,True
MIT,b1c10,1.0752757,True
MIT,b1c11,1.0537786,True
MIT,b1c12,1.077566,True
MIT,b1c13,1.0797893,True
MIT,b1c14,1.0709661,True
MIT,b1c15,1.0611236,True
MIT,b1c16,1.0811664,True
MIT,b1c17,1.072052,True
MIT,b1c18,1.0661705,False
MIT,b1c19,1.0851147,True
MIT,b1c20,1.07263,True
MIT,b1c21,1.0824388,True
MIT,b1c22,1.0793039,True
MIT,b1c23,1.0792934,True
MIT,b1c24,1.0745355,True
MIT,b1c25,1.0752345,True
MIT,b1c26,1.0876514,True
MIT,b1c27,1.0790461,True
MIT,b1c28,1.0777475,True
MIT,b1c29,1.0794537,True
MIT,b1c30,1.0798637,True
MIT,b1c31,1.0946392,True
MIT,b1c32,1.0778366,True
MIT,b1c33,1.0924908,True
MIT,b1c34,1.0766174,True
MIT,b1c35,1.0707464,True
MIT,b1c36,1.0778315,True
MIT,b1c37,1.0748194,True
MIT,b1c38,1.0729513,True
MIT,b1c39,1.0817773,True
MIT,b1c40,1.0833029,True
MIT,b1c41,1.0789614,True
MIT,b1c42,1.0798725,True
MIT,b1c43,1.0682389,True
MIT,b1c44,1.0847682,True
MIT,b1c45,1.0839558,True
MIT,b2c0,1.0700541,True
MIT,b2c1,1.0713807,True
MIT,b2c2,1.0735391,True
MIT,b2c3,1.0668509,True
MIT,b2c4,1.0728973,True
MIT,b2c5,1.0680153,True
MIT,b2c6,1.0687391,True
MIT,b2c7,1.022903,True
MIT,b2c8,1.026484,True
MIT,b2c9,1.0317495,True
MIT,b2c10,1.0690521,True
MIT,b2c11,1.0717047,True
MIT,b2c12,1.0712759,False
MIT,b2c13,1.080285,True
MIT,b2c14,1.0780684,True
MIT,b2c15,0.96937793,True
MIT,b2c16,1.0096419,True
MIT,b2c17,1.0656468,True
MIT,b2c18,1.063838,True
MIT,b2c19,1.0480293,True
MIT,b2c20,1.0831043,True
MIT,b2c21,1.0768799,True
MIT,b2c22,1.079723,True
MIT,b2c23,1.0745209,True
MIT,b2c24,1.0679682,True
MIT,b2c25,1.0672674,True
MIT,b2c26,1.0766411,True
MIT,b2c27,1.065841,True
MIT,b2c28,1.07155,True
MIT,b2c29,1.0725043,True
MIT,b2c30,1.0672802,True
MIT,b2c31,1.0732793,True
MIT,b2c32,1.0742669,True
MIT,b2c33,1.079052,True
MIT,b2c34,1.0688509,True
MIT,b2c35,1.0687217,True
MIT,b2c36,1.0792044,True
MIT,b2c37,1.0748166,True
MIT,b2c38,1.0699497,True
MIT,b2c39,1.0784613,True
MIT,b2c40,1.0765519,True
MIT,b2c41,1.0682049,True
MIT,b2c42,1.0780239,True
MIT,b2c43,1.0735646,True
MIT,b2c44,1.070887,False
MIT,b2c45,1.0704726,True
MIT,b2c46,1.0726138,True
MIT,b2c47,1.0421375,True
MIT,b3c0,1.0674551,True
MIT,b3c1,1.0650603,True
MIT,b3c2,1.060818,True
MIT,b3c3,1.0628892,True
MIT,b3c4,1.0724765,True
MIT,b3c5,1.0514506,True
MIT,b3c6,1.0626124,True
MIT,b3c7,1.0675218,True
MIT,b3c8,1.0647362,True
MIT,b3c9,1.0694826,True
MIT,b3c10,1.0617746,True
MIT,b3c11,1.0680679,True
MIT,b3c12,1.0741653,True
MIT,b3c13,1.065558,True
MIT,b3c14,1.0727056,True
MIT,b3c15,1.0684187,True
MIT,b3c16,1.061009,True
MIT,b3c17,1.0664514,True
MIT,b3c18,1.0680237,True
MIT,b3c19,1.0719248,True
MIT,b3c20,1.0650502,True
MIT,b3c21,1.0678563,True
MIT,b3c22,1.0562643,True
MIT,b3c23,1.0661554,True
MIT,b3c24,1.0462732,True
MIT,b3c25,1.0611302,True
MIT,b3c26,1.0720186,True
MIT,b3c27,1.0604171,True
MIT,b3c28,1.0518668,True
MIT,b3c29,1.0663688,True
MIT,b3c30,1.0687393,True
MIT,b3c31,1.0681812,True
MIT,b3c32,1.0725862,True
MIT,b3c33,1.060272,True
MIT,b3c34,1.061535,True
MIT,b3c35,1.0633804,True
MIT,b3c36,1.0575287,True
MIT,b3c37,1.0465839,True
MIT,b3c38,1.0701473,True
MIT,b3c39,1.0474036,True
MIT,b3c40,1.0593235,True
MIT,b3c41,1.0505219,True
MIT,b3c42,1.0669198,True
MIT,b3c43,1.0701852,True
MIT,b3c44,1.06972,True
MIT,b3c45,1.0695485,True
